"Source:","printnanny-sdwire/board/SDWire.kicad_sch"
"Date:","Mon Aug 22 21:12:53 2022"
"Tool:","Eeschema 6.0.6"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","65"

"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C6, C8, C9, C11, C12, C13, C15, C17, C18, C20, C24, C25, C26, ","15","100nF/16V","C","Capacitor_SMD:C_0402_1005Metric","",""
"C22, C23, ","2","47pF","C","Capacitor_SMD:C_0402_1005Metric","",""
"C5, C7, C19, C21, ","4","1uF/16V","C","Capacitor_SMD:C_0402_1005Metric","",""
"C3, C4, ","2","33p/50V","C","Capacitor_SMD:C_0402_1005Metric","",""
"C10, C14, C27, ","3","10uF/10V","CP","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","",""
"R11, R12, R13, R14, R15, ","5","1K","R","Resistor_SMD:R_0402_1005Metric","",""
"R1, R2, R8, R9, R10, R16, ","6","10K","R","Resistor_SMD:R_0402_1005Metric","",""
"R3, ","1","1M","R","Resistor_SMD:R_0402_1005Metric","",""
"R4, ","1","12k 1%","R","Resistor_SMD:R_0402_1005Metric","",""
"R5, ","1","330R","R","Resistor_SMD:R_0402_1005Metric","",""
"R6, R7, ","2","27R","R","Resistor_SMD:R_0402_1005Metric","",""
"D1, D6, ","2","OSB50402C1E","LED_ALT","LED_SMD:LED_0402_1005Metric","",""
"D2, D5, ","2","RED","LED_ALT","LED_SMD:LED_0402_1005Metric","",""
"D3, D7, ","2","BLUE","LED_ALT","LED_SMD:LED_0402_1005Metric","",""
"D4, D8, ","2","GREEN","LED_ALT","LED_SMD:LED_0402_1005Metric","",""
"L1, L2, L3, ","3","BLM15PD121SN1D","Ferrite_Bead_Small_1","Inductor_SMD:L_0402_1005Metric","",""
"J1, ","1","usd-plug","usd-plug","connectors:usd","",""
"J2, ","1","uSD Socket","Micro_SD_Card","Connector_Card:microSD_HC_Molex_104031-0811","Micro SD Card Socket",""
"P1, ","1","USB_OTG_MICRO_USB","USB_OTG_MICRO_USB","Connector_USB:USB_Micro-B_Molex-105017-0001","",""
"Q3, Q4, ","2","MMBT4403LT1","MMBT4403LT1","TO_SOT_Packages_SMD:SOT-23","",""
"U1, ","1","USB2640-HZH-02","USB2640","mux-footprints:QFN-48-1EP_7x7mm_Pitch0.5mm","",""
"U2, ","1","SPX3819M5","SPX3819M5","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","",""
"U3, ","1","FT200XD","FT200XD","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm","Full Speed USB to I2C Bridge, DFN-10",""
"U4, ","1","MC74HC1G04DTT1G","74AHC1G14","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","",""
"U5, ","1","TS3A27518EPWR","TS3A27518E","mux-footprints:TSSOP-24","",""
"U6, ","1","AT24CS02-SSHM","AT24CS02-SSHM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","I2C Serial EEPROM, 2Kb (256x8) with Unique Serial Number, SO8",""
"Y1, ","1","24MHz","4pinCrystal","mux-footprints:Crystal_SMD_2520-4pin_2.5x2.0mm","",""
